               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.012846,           0.0066096,           0.0010175,             0.76377,             0.93297,             0.77192,             0.74787,           0.0062037,           0.0040099,          0.00062162,            0.006634,            0.006634,            0.006634
                  36,              0.0125,           0.0065643,          0.00094818,             0.76388,             0.93221,             0.77165,             0.74797,           0.0061424,           0.0040009,          0.00061118,            0.006535,            0.006535,            0.006535
                  37,            0.012629,            0.006554,          0.00096262,             0.76384,             0.93221,             0.77173,             0.74827,            0.006075,           0.0039952,            0.000596,            0.006436,            0.006436,            0.006436
                  38,            0.012614,           0.0065268,           0.0010297,             0.76361,             0.93182,             0.77156,              0.7483,           0.0060387,           0.0040079,          0.00058604,            0.006337,            0.006337,            0.006337
                  39,            0.012422,            0.006514,          0.00094973,             0.76368,             0.93274,             0.77227,             0.74917,           0.0060281,           0.0040048,           0.0005967,            0.006238,            0.006238,            0.006238
                  40,            0.012473,           0.0064876,           0.0010248,              0.7633,             0.93274,             0.77275,             0.74987,           0.0060051,           0.0040184,          0.00061004,            0.006139,            0.006139,            0.006139
                  41,            0.012376,           0.0065943,           0.0010659,             0.76358,             0.93488,              0.7723,             0.74908,            0.005973,           0.0040277,          0.00059716,             0.00604,             0.00604,             0.00604
                  42,            0.012336,           0.0064786,           0.0009662,             0.76352,             0.93488,             0.77224,             0.74901,           0.0059434,           0.0040339,          0.00059036,            0.005941,            0.005941,            0.005941
                  43,            0.012147,           0.0064219,          0.00091069,             0.76338,             0.93488,             0.77201,             0.74926,           0.0059098,           0.0040378,          0.00058518,            0.005842,            0.005842,            0.005842
                  44,            0.012228,           0.0064908,           0.0010028,             0.76321,             0.93488,              0.7725,             0.74969,           0.0059036,           0.0040407,          0.00057735,            0.005743,            0.005743,            0.005743
                  45,            0.012144,           0.0064689,          0.00090392,             0.76338,             0.93488,             0.77231,             0.74986,           0.0059187,           0.0040422,          0.00057554,            0.005644,            0.005644,            0.005644
                  46,            0.012025,           0.0064655,          0.00088987,             0.76353,             0.93488,             0.77197,             0.74953,           0.0059135,           0.0040398,          0.00057549,            0.005545,            0.005545,            0.005545
                  47,             0.01195,           0.0064504,          0.00092246,              0.7634,             0.93435,             0.77206,             0.74939,           0.0058971,             0.00404,          0.00057193,            0.005446,            0.005446,            0.005446
